Course Name,Provider,Skills Gained,Rating & Reviews,Level & Duration,Course Image,Provider Image,Course Link
"Smart Analytics, Machine Learning, and AI on Google Cloud",Smart Analytics,"Google Cloud Platform, MLOps (Machine Learning Operations), Tensorflow",Machine Learning,1 - 3 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e3/d2a90321c54cfcb577896c8c21e07e/BD-and-ML-Fundamentals-v3.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/74/fa9028074941789429dfc1d1b71ddf/gc-logo-360x360.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-gcp
Machine Learning Pipelines with Azure ML Studio,Coursera Project Network,"Applied Machine Learning, Classification And Regression Tree (CART), Predictive Modeling",4.5 stars,Less Than 2 Hours,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c2/c889af07794c3fab51e89cc10cd7d0/azureml-pipeline.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/89/a0db8f3ea3417ca90d4f3a4ca1d73e/coursera-projectnetwork-purplesquare.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/projects/azure-machine-learning-studio-pipeline
Probability & Statistics for Machine Learning & Data Science,DeepLearning.AI,"Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing",4.6 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/46/8e9dd9c487408b8729acb7ec3719c7/Prob-DL_Square_Banner_Coursera_800x800.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/machine-learning-probability-and-statistics
Machine Learning in the Enterprise,Google Cloud,"MLOps (Machine Learning Operations), Google Cloud Platform, Data Management",4.6 stars,1 - 3 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f1/2afc90480611e880aa37659b7d325c/new-ml-on-gcp-logo.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/74/fa9028074941789429dfc1d1b71ddf/gc-logo-360x360.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/art-science-ml
Calculus for Machine Learning and Data Science,DeepLearning.AI,"Applied Mathematics, Calculus, NumPy",4.8 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e0/56af49978b4c21948a37ec9c250d06/Calc-DL_Square_Banner_Coursera_800x800.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/machine-learning-calculus
Introduction to Embedded Machine Learning,Edge Impulse,"Applied Machine Learning, Embedded Systems, Data Processing",4.8 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/14/e2c435561e4657bd6d914fa771948b/coursera-logo_1200x1200.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/c3/7e1f4c775d4970ab3310b978a3d834/Edge-Impulse-Graphic-Logo_RGB_white_720x720.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/introduction-to-embedded-machine-learning
Machine Learning,University of Washington,"Regression Analysis, Applied Machine Learning, Feature Engineering",4.6 stars,3 - 6 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/machine-learning-s12n/machinelearning.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/8c/ff2f50afdf11e5ae9d8158e68cbd96/UW_square_180x180.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/specializations/machine-learning
Exploratory Data Analysis for Machine Learning,IBM,"Exploratory Data Analysis, Feature Engineering, Data Cleansing",4.6 stars,1 - 3 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6f/fa00c0b6084c97b61f7c93def2ce54/ML_banner.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning
Convolutional Neural Networks,DeepLearning.AI,"Computer Vision, Image Analysis, Deep Learning",4.9 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b4/e71e72f2e8417895f9cd2433cc69af/Course-logo-4.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/convolutional-neural-networks
Machine Learning for All,University of London,"Applied Machine Learning, Machine Learning, Artificial Intelligence",4.7 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/8cd52cec40414c86470014b8042ecf/3657_UoL_Online-BSc-Computer-Science-Programme_MOOC-Icons_How-Comps-Work_05.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/fb/b28a301e0211e8a40e23e4176c8e4a/UoL-Logo_180x180.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/uol-machine-learning-for-all
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,"Supervised Learning, Applied Machine Learning, Jupyter",Stanford University,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9c/90ae67ecdb4185a4ae79ec9a5ae0b6/Course-Logo--1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/machine-learning
Google Cloud Database Engineer,Google Cloud,"Cloud Infrastructure, Application Deployment, Infrastructure As A Service (IaaS)",4.7 stars,3 - 6 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ee/ab61e2b9f9418c9ea7aa0d26044599/super-cloud-coursera-logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/74/fa9028074941789429dfc1d1b71ddf/gc-logo-360x360.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/specializations/google-cloud-database-engineer
IBM Introduction to Machine Learning,IBM,"Exploratory Data Analysis, Unsupervised Learning, Supervised Learning",4.6 stars,3 - 6 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8d/bb77a93c14433cb346ef97f5425c0a/ML_Graphic.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/specializations/ibm-intro-machine-learning
Neural Networks and Deep Learning,DeepLearning.AI,"Deep Learning, Artificial Neural Networks, Tensorflow",4.9 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c1/16a2fa16b943038f07cd0e4064a25e/Course-logo-1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/neural-networks-deep-learning
MLOps | Machine Learning Operations,Duke University,"MLOps (Machine Learning Operations), Pandas (Python Package), AWS SageMaker",4.1 stars,3 - 6 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e8/aa5e4ac023422abec7ecef02b259ae/Screen-Shot-2023-05-04-at-2.10.07-PM.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/6d/3cb3e06c357d40ef60000fb3d12d72/dukesquare_blue.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/specializations/mlops-machine-learning-duke
Applied Machine Learning in Python,University of Michigan,"Feature Engineering, Applied Machine Learning, Supervised Learning",4.6 stars,1 - 4 Weeks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f8/d9a0901e1411e6b4be05fc1f155449/python_datascience_thumbnail_machinelearning_1x1.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/70/de505d47be7d3a063b51b6f856a6e2/New-Block-M-Stacked-Blue-295C_600x600.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/python-machine-learning
Build and Operate Machine Learning Solutions with Azure,Microsoft,"Microsoft Azure, MLOps (Machine Learning Operations), Databricks",3.9 stars,1 - 3 Months,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ed/e8b361bf3f4b44a8fe1c8b39bcdd9b/Build-and-Operate-Machine-Learning-Solutions-with-Azure-Machine-Learning.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/cc/61dbdf2c1c475d82d3b8bf8eee1bda/MSFT-stacked-logo_FINAL.png?auto=format%2Ccompress&dpr=3&w=24&h=24,https://www.coursera.org/learn/build-and-operate-machine-learning-solutions-with-azure
